#     S_Distr        Radius
  2.656970000   2.656970000
  2.664280000   2.664280000
  2.671590000   2.671590000
  2.678910000   2.678910000
  2.686220000   2.686220000
  2.693530000   2.693530000
  2.700850000   2.700850000
  2.708160000   2.708160000
  2.715470000   2.715470000
  2.722790000   2.722790000
  2.730100000   2.730100000
  2.737420000   2.737420000
  2.744730000   2.744730000
  2.752040000   2.752040000
  2.759360000   2.759360000
  2.766670000   2.766670000
  2.773980000   2.773980000
  2.781300000   2.781300000
  2.788610000   2.788610000
  2.795920000   2.795920000
  2.803240000   2.803240000
  2.810550000   2.810550000
  2.817870000   2.817870000
  2.825180000   2.825180000
  2.832490000   2.832490000
  2.839810000   2.839810000
  2.847120000   2.847120000
  2.854430000   2.854430000
  2.861750000   2.861750000
  2.869060000   2.869060000
  2.876370000   2.876370000
  2.883690000   2.883690000
  2.891000000   2.891000000
  2.898320000   2.898320000
  2.905630000   2.905630000
  2.912940000   2.912940000
  2.920260000   2.920260000
  2.927570000   2.927570000
  2.934880000   2.934880000
  2.942200000   2.942200000
  2.949510000   2.949510000
  2.956820000   2.956820000
  2.964140000   2.964140000
  2.971450000   2.971450000
  2.978770000   2.978770000
  2.986080000   2.986080000
  2.993390000   2.993390000
  3.000710000   3.000710000
  3.008020000   3.008020000
  3.015330000   3.015330000
  3.022650000   3.022650000
  3.029960000   3.029960000
  3.037270000   3.037270000
  3.044590000   3.044590000
  3.051900000   3.051900000
  3.059220000   3.059220000
  3.066530000   3.066530000
  3.073840000   3.073840000
  3.081160000   3.081160000
  3.088470000   3.088470000
  3.095780000   3.095780000
  3.103100000   3.103100000
  3.110410000   3.110410000
  3.117720000   3.117720000
  3.125040000   3.125040000
  3.132350000   3.132350000
  3.139670000   3.139670000
  3.146980000   3.146980000
  3.154290000   3.154290000
  3.161610000   3.161610000
  3.168920000   3.168920000
  3.176230000   3.176230000
  3.183550000   3.183550000
  3.190860000   3.190860000
  3.198170000   3.198170000
  3.205490000   3.205490000
  3.212800000   3.212800000
  3.220120000   3.220120000
  3.227430000   3.227430000
  3.234740000   3.234740000
  3.242060000   3.242060000
  3.249370000   3.249370000
  3.256680000   3.256680000
  3.264000000   3.264000000
  3.271310000   3.271310000
  3.278620000   3.278620000
  3.285940000   3.285940000
  3.293250000   3.293250000
  3.300570000   3.300570000
  3.307880000   3.307880000
